,u,v,geometry,highway,lanes,length,name,oneway,maxspeed
5476,148474688,148474696,"LINESTRING (8.6012907 47.3547307, 8.601305699999999 47.3546642, 8.601314199999999 47.3545846, 8.601277899999999 47.3543075, 8.601250200000001 47.3541971, 8.601222399999999 47.3540438, 8.601222399999999 47.3539975, 8.6012459 47.3539541)",tertiary,,87.201,Trichtenhausenstrasse,False,30
5477,148474688,151354044,"LINESTRING (8.6012907 47.3547307, 8.601237299999999 47.3548131, 8.601152600000001 47.3548891, 8.601093000000001 47.3549451, 8.600989999999999 47.3550222, 8.600776099999999 47.3551618, 8.6006228 47.3552616, 8.6004816 47.3553463)",tertiary,2,92.43299999999999,Trichtenhausenstrasse,False,"['30', '50']"
5478,148474688,343298477,"LINESTRING (8.6012907 47.3547307, 8.6013325 47.3547413, 8.601392799999999 47.3547566, 8.6014573 47.3547622, 8.601516999999999 47.3547573, 8.6015897 47.3547307, 8.6017299 47.3546793, 8.6018902 47.3546253, 8.602210899999999 47.3545031, 8.602534199999999 47.3543847, 8.602929700000001 47.3546959, 8.6031122 47.3548257, 8.6032229 47.3549098)",residential,,182.889,Im Trichtisal,False,30
5479,34505886,34505893,"LINESTRING (8.534277700000001 47.3723009, 8.5343673 47.3724159, 8.5344108 47.3724533, 8.534473 47.3724905, 8.534493100000001 47.372502, 8.534507899999999 47.3725105, 8.534594800000001 47.3725618)",tertiary,1,38.123999999999995,"['Sihlporte', 'Talstrasse']",True,50
5480,34505886,60022499,"LINESTRING (8.534277700000001 47.3723009, 8.5341684 47.3719408, 8.534157199999999 47.3718537, 8.5341532 47.3717835, 8.534204300000001 47.3716973, 8.5345888 47.3712951, 8.534693799999999 47.3711937, 8.5348177 47.3710738, 8.5349805 47.3709161, 8.5351362 47.3708224, 8.535258499999999 47.3707486)",tertiary,3,201.482,Talstrasse,False,50
5481,34505893,34505879,"LINESTRING (8.534594800000001 47.3725618, 8.5344838 47.3726998)",tertiary,1,17.474,Sihlporte,True,50
5482,34505893,30826465,"LINESTRING (8.534594800000001 47.3725618, 8.534771599999999 47.3725902, 8.5353759 47.3727386, 8.5355247 47.3727779)",tertiary,2,74.116,Sihlstrasse,True,50
5483,34505894,598569841,"LINESTRING (8.5365181 47.3730473, 8.536639600000001 47.3730817, 8.5367786 47.3731233)",tertiary,2,21.361,Sihlstrasse,True,50
5484,5138646235,73631991,"LINESTRING (8.5325127 47.3415067, 8.5326831 47.3408856, 8.5327226 47.3407415)",residential,,86.544,Auf der Egg,False,30
5485,676627679,147557976,"LINESTRING (8.4957303 47.3968279, 8.4960001 47.3971309)",residential,,39.339,Hardhof,False,50
5486,676627679,147557975,"LINESTRING (8.4957303 47.3968279, 8.4954474 47.3965122)",residential,,41.058,Hardhof,False,50
5487,676627679,676627168,"LINESTRING (8.4957303 47.3968279, 8.4966829 47.3964427)",residential,,83.521,Hardhof,False,50
5488,676627679,676627418,"LINESTRING (8.4957303 47.3968279, 8.494820900000001 47.3972138)",residential,,80.788,Hardhof,False,50
5489,108233951,30064736,"LINESTRING (8.5125267 47.4134812, 8.5130082 47.4133742, 8.513197999999999 47.4133211, 8.513359599999999 47.4132671, 8.513563400000001 47.4131931, 8.5137465 47.413111, 8.5139879 47.412988, 8.514169600000001 47.4128814, 8.5143124 47.412787, 8.5145619 47.4125964, 8.514769100000001 47.4123908, 8.514829600000001 47.4123174, 8.514866 47.4122732)",residential,,227.89399999999998,Schumacherweg,False,30
5490,5138646268,73631991,"LINESTRING (8.5328389 47.340718, 8.532826699999999 47.3407555, 8.5327226 47.3407415)",residential,,12.267,Eggweg,False,30
5491,215123213,344806038,"LINESTRING (8.5647977 47.3815619, 8.5646428 47.3816401, 8.5642686 47.3818422, 8.564062 47.3819571, 8.5636435 47.3821962, 8.5632518 47.3824237, 8.563031499999999 47.3825602, 8.562659099999999 47.382815, 8.5625681 47.3828864, 8.562337899999999 47.3830669)",residential,,250.14599999999996,Susenbergstrasse,False,30
5492,215123213,269959776,"LINESTRING (8.5647977 47.3815619, 8.564823199999999 47.3815986, 8.5651648 47.3820902)",residential,1,64.922,Heubeeriweg,False,30
