,population,income $/year,median gross rent,tractindex
"Census Tract 74.71, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:007471",3671,,907.0,007471
"Census Tract 74.72, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:007472",4733,,1416.0,007472
"Census Tract 75.04, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:007504",3090,29577.0,816.0,007504
"Census Tract 75.05, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:007505",3018,36843.0,882.0,007505
"Census Tract 75.06, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:007506",2551,40729.0,1181.0,007506
"Census Tract 75.08, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:007508",2885,,1162.0,007508
"Census Tract 75.09, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:007509",4316,48337.0,1149.0,007509
"Census Tract 75.11, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:007511",6007,49382.0,978.0,007511
"Census Tract 75.12, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:007512",7245,,801.0,007512
"Census Tract 75.13, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:007513",5652,,966.0,007513
"Census Tract 75.14, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:007514",3819,,1739.0,007514
"Census Tract 75.15, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:007515",4360,56802.0,1264.0,007515
"Census Tract 75.16, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:007516",3989,43778.0,1682.0,007516
"Census Tract 75.17, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:007517",5343,43583.0,1359.0,007517
"Census Tract 2, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:000200",3394,22129.0,928.0,000200
"Census Tract 3, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:000300",2225,,1013.0,000300
"Census Tract 4, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:000400",2151,16519.0,623.0,000400
"Census Tract 5, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:000500",2172,9648.0,954.0,000500
"Census Tract 6, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:000600",1223,,496.0,000600
"Census Tract 7, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:000700",1278,,514.0,000700
"Census Tract 8, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:000800",1932,15963.0,866.0,000800
"Census Tract 11, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:001100",2828,13525.0,744.0,001100
"Census Tract 12, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:001200",2897,16839.0,751.0,001200
"Census Tract 16, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:001600",2546,,662.0,001600
"Census Tract 18, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:001800",3761,,1011.0,001800
"Census Tract 19, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:001900",1440,,641.0,001900
"Census Tract 20, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:002000",3579,18947.0,757.0,002000
"Census Tract 21, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:002100",2625,15500.0,619.0,002100
"Census Tract 22, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:002200",1163,,740.0,002200
"Census Tract 23, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:002300",2766,,683.0,002300
"Census Tract 24, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:002400",3679,23117.0,756.0,002400
"Census Tract 25, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:002500",2743,23968.0,824.0,002500
"Census Tract 26, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:002600",2430,19328.0,740.0,002600
"Census Tract 27, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:002700",2789,19157.0,821.0,002700
"Census Tract 28, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:002800",3797,22466.0,708.0,002800
"Census Tract 29, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:002900",5742,19688.0,664.0,002900
"Census Tract 30, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:003000",8257,21876.0,877.0,003000
"Census Tract 31, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:003100",3975,22599.0,833.0,003100
"Census Tract 32, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:003200",2644,16577.0,538.0,003200
"Census Tract 33, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:003300",2484,15807.0,758.0,003300
"Census Tract 34.01, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:003401",4023,,880.0,003401
"Census Tract 34.02, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:003402",2706,31026.0,794.0,003402
"Census Tract 35, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:003500",3998,,843.0,003500
"Census Tract 36, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:003600",4126,36938.0,995.0,003600
"Census Tract 37, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:003700",2278,41250.0,1033.0,003700
"Census Tract 38, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:003800",4376,18523.0,482.0,003800
"Census Tract 39, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:003900",2815,16227.0,640.0,003900
"Census Tract 40, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:004000",3186,15917.0,587.0,004000
"Census Tract 42, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:004200",1667,20401.0,643.0,004200
"Census Tract 43, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:004300",2811,21569.0,701.0,004300
"Census Tract 44, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:004400",1333,27835.0,986.0,004400
"Census Tract 45, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:004500",2950,35702.0,1033.0,004500
"Census Tract 46, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:004600",2499,30483.0,706.0,004600
"Census Tract 47, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:004700",2943,,,004700
"Census Tract 48, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:004800",4601,28095.0,725.0,004800
"Census Tract 49, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:004900",4593,23788.0,585.0,004900
"Census Tract 50, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:005000",4100,21018.0,629.0,005000
"Census Tract 51, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:005100",2681,16053.0,593.0,005100
"Census Tract 52, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:005200",1864,16815.0,771.0,005200
"Census Tract 53, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:005300",2116,17786.0,803.0,005300
"Census Tract 54, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:005400",3134,20979.0,720.0,005400
"Census Tract 55, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:005500",4876,,959.0,005500
"Census Tract 56, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:005600",4259,25457.0,734.0,005600
"Census Tract 57, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:005700",4179,22320.0,688.0,005700
"Census Tract 58, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:005800",4084,25000.0,829.0,005800
"Census Tract 59.01, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:005901",2144,,864.0,005901
"Census Tract 59.02, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:005902",1793,16982.0,763.0,005902
"Census Tract 60, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:006000",3647,17584.0,719.0,006000
"Census Tract 61.01, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:006101",2245,16949.0,941.0,006101
"Census Tract 61.02, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:006102",3700,16099.0,876.0,006102
"Census Tract 62.02, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:006202",4130,20386.0,656.0,006202
"Census Tract 63.01, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:006301",2700,24777.0,634.0,006301
