,osmid,geometry
263981410,263981410,POINT (-87.66198609999999 41.9216371)
1324353893,1324353893,POINT (-87.67625580000001 41.8714787)
375654782,375654782,POINT (-87.5859336 41.7661493)
261097858,261097858,POINT (-87.6463626 41.8785943)
375654796,375654796,POINT (-87.5843338 41.766159)
375654833,375654833,POINT (-87.584352 41.7666055)
261097933,261097933,POINT (-87.6115688 41.6840027)
375654883,375654883,POINT (-87.5843677 41.7667748)
732432875,732432875,POINT (-87.740082 41.8786854)
261245734,261245734,POINT (-87.5849967 41.7278171)
261245736,261245736,POINT (-87.58266949999999 41.7278475)
261245738,261245738,POINT (-87.5803617 41.7278775)
414190125,414190125,POINT (-87.58566709999999 41.7560319)
261245740,261245740,POINT (-87.5791467 41.7278934)
308021820,308021820,POINT (-87.7086958 41.9757493)
263981631,263981631,POINT (-87.66125890000001 41.9193613)
261245742,261245742,POINT (-87.5779194 41.7279094)
261245747,261245747,POINT (-87.5594851 41.7281499)
375655083,375655083,POINT (-87.586326 41.7661474)
2469399222,2469399222,POINT (-87.74465069999999 41.9096474)
261245770,261245770,POINT (-87.5456075 41.7283276)
261098197,261098197,POINT (-87.6123079 41.7274135)
862980835,862980835,POINT (-87.6789191 41.8296238)
358615807,358615807,POINT (-87.63844159999999 41.906653)
261245780,261245780,POINT (-87.6118613 41.7274167)
261245782,261245782,POINT (-87.6046017 41.7275304)
263981875,263981875,POINT (-87.6581992 41.9175992)
367528775,367528775,POINT (-87.82207390000001 41.9466306)
375655256,375655256,POINT (-87.5894426 41.7661328)
261098346,261098346,POINT (-87.7472941 41.9643839)
367528815,367528815,POINT (-87.8248734 41.9452998)
367528830,367528830,POINT (-87.8257426 41.9468021)
5893262294,5893262294,POINT (-87.6644613 41.7867538)
5893262307,5893262307,POINT (-87.6643778 41.7885697)
5893262308,5893262308,POINT (-87.6645036 41.7885678)
5893262309,5893262309,POINT (-87.6644289 41.7904052)
5893262310,5893262310,POINT (-87.66455259999999 41.7904035)
4698147849,4698147849,POINT (-87.6767392 41.8849773)
263982117,263982117,POINT (-87.6573429 41.9165242)
4069526572,4069526572,POINT (-87.7309247 41.9847979)
5885660360,5885660360,POINT (-87.6417252 41.6706763)
261350083,261350083,POINT (-87.685357 41.7072694)
261350085,261350085,POINT (-87.6852427 41.7036247)
261360896,261360896,POINT (-87.56614709999999 41.7444673)
351014175,351014175,POINT (-87.62655650000001 41.766175)
1062997296,1062997296,POINT (-87.6102161 41.8600816)
1062997321,1062997321,POINT (-87.6102242 41.8601985)
2158530194,2158530194,POINT (-87.6366328 41.6642395)
261098881,261098881,POINT (-87.7026164 41.935701)
1034685844,1034685844,POINT (-87.68075880000001 41.6791005)
6162746801,6162746801,POINT (-87.76192949999999 41.9687823)
367529437,367529437,POINT (-87.8189747 41.9383599)
351014366,351014366,POINT (-87.6249076 41.7657724)
