node_id,x,y,unique_agency_id,route_type,stop_id,stop_name,parent_station,location_type,net_type
gen:23026:3217:2:81_zürcher_verkehrsverbund,8.60447701752523,47.4121327267842,zürcher_verkehrsverbund,3.0,gen:23026:3217:2:81,"Wallisellen, Blumenweg",Parent3217,,transit
gen:23026:3223:1:50_zürcher_verkehrsverbund,8.57135613299513,47.43454152499061,zürcher_verkehrsverbund,3.0,gen:23026:3223:1:50,"Opfikon, Bubenholz",,,transit
gen:23026:3223:1:51_zürcher_verkehrsverbund,8.57143698137071,47.434468607026794,zürcher_verkehrsverbund,3.0,gen:23026:3223:1:51,"Opfikon, Bubenholz",,,transit
gen:23026:3224:1:50_zürcher_verkehrsverbund,8.60071307648424,47.42179757686271,zürcher_verkehrsverbund,3.0,gen:23026:3224:1:50,"Wallisellen, Bützacker",,,transit
gen:23026:3224:1:51_zürcher_verkehrsverbund,8.60031781775917,47.4215666137162,zürcher_verkehrsverbund,3.0,gen:23026:3224:1:51,"Wallisellen, Bützacker",,,transit
gen:23026:3229:1:50_zürcher_verkehrsverbund,8.57814739654401,47.4322810211302,zürcher_verkehrsverbund,3.0,gen:23026:3229:1:50,"Opfikon, Dorf",Parent3229,,transit
gen:23026:3229:1:51_zürcher_verkehrsverbund,8.57806654816843,47.4322506373525,zürcher_verkehrsverbund,3.0,gen:23026:3229:1:51,"Opfikon, Dorf",Parent3229,,transit
gen:23026:3231:1:50_zürcher_verkehrsverbund,8.46917276941231,47.3583966670754,zürcher_verkehrsverbund,3.0,gen:23026:3231:1:50,"Ringlikon, Dorf",,,transit
gen:23026:3231:1:51_zürcher_verkehrsverbund,8.46947819660895,47.358390581795,zürcher_verkehrsverbund,3.0,gen:23026:3231:1:51,"Ringlikon, Dorf",,,transit
gen:23026:3234:1:50_zürcher_verkehrsverbund,8.610989803336,47.4021742524875,zürcher_verkehrsverbund,3.0,gen:23026:3234:1:50,"Dübendorf, EMPA",,,transit
gen:23026:3234:1:51_zürcher_verkehrsverbund,8.61214863005267,47.401584466938495,zürcher_verkehrsverbund,3.0,gen:23026:3234:1:51,"Dübendorf, EMPA",,,transit
gen:23026:3240:1:51_zürcher_verkehrsverbund,8.58210896694753,47.4234264460703,zürcher_verkehrsverbund,3.0,gen:23026:3240:1:51,"Opfikon, Fernsicht",,,transit
gen:23026:3241:1:50_zürcher_verkehrsverbund,8.59700303436031,47.4117497433564,zürcher_verkehrsverbund,3.0,gen:23026:3241:1:50,"Wallisellen, Florastrasse",Parent3241,,transit
gen:23026:3241:1:51_zürcher_verkehrsverbund,8.596967101748941,47.411822692795496,zürcher_verkehrsverbund,3.0,gen:23026:3241:1:51,"Wallisellen, Florastrasse",Parent3241,,transit
gen:23026:3244:1:50_zürcher_verkehrsverbund,8.60807926181504,47.4117558224802,zürcher_verkehrsverbund,3.0,gen:23026:3244:1:50,"Wallisellen, Furtbach",,,transit
gen:23026:3244:1:51_zürcher_verkehrsverbund,8.60797146398093,47.4114336279529,zürcher_verkehrsverbund,3.0,gen:23026:3244:1:51,"Wallisellen, Furtbach",,,transit
gen:23026:3245:1:50_zürcher_verkehrsverbund,8.59153229427926,47.41673438922751,zürcher_verkehrsverbund,3.0,gen:23026:3245:1:50,"Wallisellen, Gemeindehaus",Parent3245,,transit
gen:23026:3245:1:51_zürcher_verkehrsverbund,8.59120890077693,47.416582425290095,zürcher_verkehrsverbund,3.0,gen:23026:3245:1:51,"Wallisellen, Gemeindehaus",Parent3245,,transit
gen:23026:3246:1:50_zürcher_verkehrsverbund,8.56327129543693,47.4284160638049,zürcher_verkehrsverbund,3.0,gen:23026:3246:1:50,"Glattbrugg, Giebeleichstrasse",,,transit
gen:23026:3247:1:50_zürcher_verkehrsverbund,8.56791558545647,47.4342437760025,zürcher_verkehrsverbund,3.0,gen:23026:3247:1:50,"Glattbrugg, Glatthof",Parent3247,,transit
gen:23026:3247:1:51_zürcher_verkehrsverbund,8.567565242495611,47.4346022898832,zürcher_verkehrsverbund,3.0,gen:23026:3247:1:51,"Glattbrugg, Glatthof",Parent3247,,transit
gen:23026:3248:1:51_zürcher_verkehrsverbund,8.58171370822247,47.4245994437986,zürcher_verkehrsverbund,3.0,gen:23026:3248:1:51,"Opfikon, Grätzli",,,transit
gen:23026:3253:1:50_zürcher_verkehrsverbund,8.45976740838627,47.3689839920379,zürcher_verkehrsverbund,3.0,gen:23026:3253:1:50,"Uitikon, Halde",,,transit
gen:23026:3253:1:51_zürcher_verkehrsverbund,8.4590128235475,47.3691543454131,zürcher_verkehrsverbund,3.0,gen:23026:3253:1:51,"Uitikon, Halde",,,transit
gen:23026:3255:1:50_zürcher_verkehrsverbund,8.593436722681862,47.4177008696049,zürcher_verkehrsverbund,3.0,gen:23026:3255:1:50,"Wallisellen, Hallenbad",,,transit
gen:23026:3255:1:51_zürcher_verkehrsverbund,8.59305943026248,47.417536751546,zürcher_verkehrsverbund,3.0,gen:23026:3255:1:51,"Wallisellen, Hallenbad",,,transit
gen:23026:3291:1:50_zürcher_verkehrsverbund,8.59880864808164,47.420132188329895,zürcher_verkehrsverbund,3.0,gen:23026:3291:1:50,"Wallisellen, Lindenplatz",,,transit
gen:23026:3291:1:51_zürcher_verkehrsverbund,8.598673900789,47.4200957193785,zürcher_verkehrsverbund,3.0,gen:23026:3291:1:51,"Wallisellen, Lindenplatz",,,transit
gen:23026:3296:1:50_zürcher_verkehrsverbund,8.60151257708722,47.40269106944779,zürcher_verkehrsverbund,3.0,gen:23026:3296:1:50,"Dübendorf, Neugut Süd",,,transit
gen:23026:3296:1:51_zürcher_verkehrsverbund,8.6019527515765,47.402782271914504,zürcher_verkehrsverbund,3.0,gen:23026:3296:1:51,"Dübendorf, Neugut Süd",,,transit
gen:23026:3297:1:50_zürcher_verkehrsverbund,8.462543202614581,47.36484666970039,zürcher_verkehrsverbund,3.0,gen:23026:3297:1:50,"Waldegg, Katholische Kirche",,,transit
gen:23026:3297:1:51_zürcher_verkehrsverbund,8.462588118378791,47.3647675706709,zürcher_verkehrsverbund,3.0,gen:23026:3297:1:51,"Waldegg, Katholische Kirche",,,transit
gen:23026:3298:1:50_zürcher_verkehrsverbund,8.57417684298765,47.428172975241004,zürcher_verkehrsverbund,3.0,gen:23026:3298:1:50,"Opfikon, Neuwiesen",,,transit
gen:23026:3298:1:51_zürcher_verkehrsverbund,8.57427565766892,47.4283188285141,zürcher_verkehrsverbund,3.0,gen:23026:3298:1:51,"Opfikon, Neuwiesen",,,transit
gen:23026:3315:1:50_zürcher_verkehrsverbund,8.60198868418787,47.411032401823505,zürcher_verkehrsverbund,3.0,gen:23026:3315:1:50,"Wallisellen, Riedenerstrasse",Parent3315,,transit
gen:23026:3315:1:51_zürcher_verkehrsverbund,8.6015934254628,47.411099273057296,zürcher_verkehrsverbund,3.0,gen:23026:3315:1:51,"Wallisellen, Riedenerstrasse",Parent3315,,transit
gen:23026:3319:1:50_zürcher_verkehrsverbund,8.451457992007,47.372105021927005,zürcher_verkehrsverbund,3.0,gen:23026:3319:1:50,"Uitikon, Roracher",,,transit
gen:23026:3319:1:51_zürcher_verkehrsverbund,8.45108968274046,47.372244946816394,zürcher_verkehrsverbund,3.0,gen:23026:3319:1:51,"Uitikon, Roracher",,,transit
gen:23026:3320:1:50_zürcher_verkehrsverbund,8.59813491161846,47.4123698103676,zürcher_verkehrsverbund,3.0,gen:23026:3320:1:50,"Wallisellen, Rosenberg",,,transit
gen:23026:3320:1:51_zürcher_verkehrsverbund,8.59766778767065,47.412363731314706,zürcher_verkehrsverbund,3.0,gen:23026:3320:1:51,"Wallisellen, Rosenberg",,,transit
gen:23026:3326:1:51_zürcher_verkehrsverbund,8.59900627744418,47.42377287817099,zürcher_verkehrsverbund,3.0,gen:23026:3326:1:51,"Wallisellen, Schäfligraben",,,transit
gen:23026:3337:1:50_zürcher_verkehrsverbund,8.46562442403954,47.36090982790339,zürcher_verkehrsverbund,3.0,gen:23026:3337:1:50,"Ringlikon, Gättern",,,transit
gen:23026:3337:1:51_zürcher_verkehrsverbund,8.46528306423153,47.3619442661045,zürcher_verkehrsverbund,3.0,gen:23026:3337:1:51,"Ringlikon, Gättern",,,transit
gen:23026:3340:1:50_zürcher_verkehrsverbund,8.60555499586632,47.4110688770525,zürcher_verkehrsverbund,3.0,gen:23026:3340:1:50,"Wallisellen, Spitzacker",,,transit
gen:23026:3340:1:51_zürcher_verkehrsverbund,8.6049800740844,47.41099592656921,zürcher_verkehrsverbund,3.0,gen:23026:3340:1:51,"Wallisellen, Spitzacker",,,transit
gen:23026:3342:1:50_zürcher_verkehrsverbund,8.60692941825121,47.4147527450555,zürcher_verkehrsverbund,3.0,gen:23026:3342:1:50,"Wallisellen, Sportzentrum",,,transit
gen:23026:3356:1:50_zürcher_verkehrsverbund,8.46313609070218,47.3681991425953,zürcher_verkehrsverbund,3.0,gen:23026:3356:1:50,"Waldegg, Birmensdorferstrasse",,,transit
gen:23026:3356:1:51_zürcher_verkehrsverbund,8.463711012484099,47.3683755826349,zürcher_verkehrsverbund,3.0,gen:23026:3356:1:51,"Waldegg, Birmensdorferstrasse",,,transit
gen:23026:3360:1:50_zürcher_verkehrsverbund,8.57970148198576,47.4284160638049,zürcher_verkehrsverbund,3.0,gen:23026:3360:1:50,"Opfikon, Vreniker",,,transit
gen:23026:3360:1:51_zürcher_verkehrsverbund,8.57962961676302,47.4283188285141,zürcher_verkehrsverbund,3.0,gen:23026:3360:1:51,"Opfikon, Vreniker",,,transit
gen:23026:3371:1:50_zürcher_verkehrsverbund,8.59083160835755,47.414223888758706,zürcher_verkehrsverbund,3.0,gen:23026:3371:1:50,"Wallisellen, Zentrum",,,transit
gen:23026:3371:1:51_zürcher_verkehrsverbund,8.59089449042745,47.4141509426458,zürcher_verkehrsverbund,3.0,gen:23026:3371:1:51,"Wallisellen, Zentrum",,,transit
gen:23026:3372:1:50_zürcher_verkehrsverbund,8.60511482137704,47.4145643026163,zürcher_verkehrsverbund,3.0,gen:23026:3372:1:50,"Wallisellen, Zielacker",,,transit
gen:23026:3372:1:51_zürcher_verkehrsverbund,8.6049800740844,47.41460685419371,zürcher_verkehrsverbund,3.0,gen:23026:3372:1:51,"Wallisellen, Zielacker",,,transit
gen:23026:3375:1:51_zürcher_verkehrsverbund,8.577365862246719,47.4248000055604,zürcher_verkehrsverbund,3.0,gen:23026:3375:1:51,"Opfikon, Aublick",,,transit
gen:23026:3444:1:50_zürcher_verkehrsverbund,8.599158991042499,47.3609402528459,zürcher_verkehrsverbund,3.0,gen:23026:3444:1:50,"Zürich, Glockenacker",,,transit
gen:23026:3444:1:51_zürcher_verkehrsverbund,8.598602035566259,47.36090982790339,zürcher_verkehrsverbund,3.0,gen:23026:3444:1:51,"Zürich, Glockenacker",,,transit
gen:23026:3445:1:50_zürcher_verkehrsverbund,8.56498707762983,47.37583419750379,zürcher_verkehrsverbund,3.0,gen:23026:3445:1:50,"Zürich, Bircher-Benner",,,transit
gen:23026:3445:1:51_zürcher_verkehrsverbund,8.564798431420138,47.3756516991267,zürcher_verkehrsverbund,3.0,gen:23026:3445:1:51,"Zürich, Bircher-Benner",,,transit
gen:23026:3446:1:50_zürcher_verkehrsverbund,8.55345270938013,47.4252375922065,zürcher_verkehrsverbund,3.0,gen:23026:3446:1:50,"Zürich, Ettenfeld",,,transit
gen:23026:3446:1:51_zürcher_verkehrsverbund,8.55405458062058,47.4257055627888,zürcher_verkehrsverbund,3.0,gen:23026:3446:1:51,"Zürich, Ettenfeld",,,transit
gen:23026:3447:1:0_zürcher_verkehrsverbund,8.54597872621522,47.4132755814091,zürcher_verkehrsverbund,0.0,gen:23026:3447:1:0,"Zürich, Bahnhof Oerlikon Ost",Parent3447,,transit
gen:23026:3447:1:1_zürcher_verkehrsverbund,8.54570923162994,47.4136160013968,zürcher_verkehrsverbund,0.0,gen:23026:3447:1:1,"Zürich, Bahnhof Oerlikon Ost",Parent3447,,transit
gen:23026:3447:1:2_zürcher_verkehrsverbund,8.54617635557775,47.4132451866603,zürcher_verkehrsverbund,0.0,gen:23026:3447:1:2,"Zürich, Bahnhof Oerlikon Ost",Parent3447,,transit
gen:23026:3447:1:3_zürcher_verkehrsverbund,8.546391951245969,47.4135856068445,zürcher_verkehrsverbund,0.0,gen:23026:3447:1:3,"Zürich, Bahnhof Oerlikon Ost",Parent3447,,transit
