node_id,x,y
ch:23026:2095:1:52_zürcher_verkehrsverbund,8.60737857589333,47.4000400487554
ch:23026:872:1:51_zürcher_verkehrsverbund,8.481767149697419,47.405414915057
gen:23026:1000:1:10_zürcher_verkehrsverbund,8.51978385252665,47.4139077882063
gen:23026:1000:1:11_zürcher_verkehrsverbund,8.519307745426,47.41421173108029
gen:23026:1000:2:22_zürcher_verkehrsverbund,8.51931672857884,47.4145339086113
gen:23026:1004:1:50_zürcher_verkehrsverbund,8.51554380438501,47.3207762332725
gen:23026:1004:1:51_zürcher_verkehrsverbund,8.51560668645491,47.3208127709657
gen:23026:1006:1:50_zürcher_verkehrsverbund,8.5987996649288,47.3820935094658
gen:23026:1006:1:51_zürcher_verkehrsverbund,8.59819779368835,47.381953610709104
gen:23026:1007:1:20_zürcher_verkehrsverbund,8.48777687894901,47.3719468455181
gen:23026:1007:1:21_zürcher_verkehrsverbund,8.48726483923699,47.372244946816394
gen:23026:1008:1:20_zürcher_verkehrsverbund,8.55008402706422,47.3859497029502
gen:23026:1008:1:21_zürcher_verkehrsverbund,8.55020080805117,47.385870635569496
gen:23026:1008:2:0_zürcher_verkehrsverbund,8.54993131346589,47.386265971287
gen:23026:1008:2:1_zürcher_verkehrsverbund,8.54993131346589,47.386265971287
gen:23026:1011:1:50_zürcher_verkehrsverbund,8.58021352169778,47.3295932637842
gen:23026:1011:1:51_zürcher_verkehrsverbund,8.58059081411716,47.3290452868247
gen:23026:1012:1:0_zürcher_verkehrsverbund,8.51362140967673,47.3702920484894
gen:23026:1012:1:1_zürcher_verkehrsverbund,8.51416039884727,47.3702920484894
gen:23026:1012:2:10_zürcher_verkehrsverbund,8.51368429174662,47.3704502298615
gen:23026:1012:3:11_zürcher_verkehrsverbund,8.51406158416601,47.3701034470026
gen:23026:1013:1:50_zürcher_verkehrsverbund,8.57758145791494,47.3348961692764
gen:23026:1013:1:51_zürcher_verkehrsverbund,8.57776112097179,47.3348779053034
gen:23026:1018:1:50_zürcher_verkehrsverbund,8.54264597651067,47.32290755645639
gen:23026:1018:1:51_zürcher_verkehrsverbund,8.542663942816349,47.3228710202119
gen:23026:1026:1:0_zürcher_verkehrsverbund,8.49031911120342,47.3868985022676
gen:23026:1026:1:1_zürcher_verkehrsverbund,8.48972622311582,47.3870748797454
gen:23026:1029:1:50_zürcher_verkehrsverbund,8.57883909931288,47.4272370737885
gen:23026:1029:1:51_zürcher_verkehrsverbund,8.578731301478781,47.4272127644381
gen:23026:1034:1:50_zürcher_verkehrsverbund,8.47408655401713,47.3310605963141
gen:23026:1034:1:51_zürcher_verkehrsverbund,8.47426621707397,47.3321382378089
gen:23026:1041:1:0_zürcher_verkehrsverbund,8.48994181878404,47.3950355796226
gen:23026:1041:1:1_zürcher_verkehrsverbund,8.4895735095175,47.3951997678035
gen:23026:1041:1:21_zürcher_verkehrsverbund,8.490184363910789,47.394950444808906
gen:23026:1041:2:20_zürcher_verkehrsverbund,8.48900757088843,47.3950842280258
gen:23026:1045:1:50_zürcher_verkehrsverbund,8.48319547099937,47.417403025342
gen:23026:1045:1:51_zürcher_verkehrsverbund,8.48308767316526,47.4172206708801
gen:23026:1054:1:50_zürcher_verkehrsverbund,8.617134279880231,47.391569265293
gen:23026:1054:1:51_zürcher_verkehrsverbund,8.61725106086718,47.3913868213809
gen:23026:1061:1:0_zürcher_verkehrsverbund,8.540049845339201,47.3956011145363
gen:23026:1061:1:1_zürcher_verkehrsverbund,8.54031035677163,47.3958321915716
gen:23026:1073:1:20_zürcher_verkehrsverbund,8.506389971638558,47.371794752369794
gen:23026:1073:1:21_zürcher_verkehrsverbund,8.50687506189205,47.371660910036404
gen:23026:1075:1:50_zürcher_verkehrsverbund,8.61405305845527,47.33172423124821
gen:23026:1075:1:51_zürcher_verkehrsverbund,8.61487052536393,47.332716623893205
gen:23026:1076:1:0_zürcher_verkehrsverbund,8.52012521233466,47.38022613459721
gen:23026:1076:1:1_zürcher_verkehrsverbund,8.519685037845381,47.38048769271521
gen:23026:1087:1:20_zürcher_verkehrsverbund,8.55142251683774,47.3869106662506
gen:23026:1087:1:21_zürcher_verkehrsverbund,8.551494382060481,47.3869106662506
gen:23026:1087:2:0_zürcher_verkehrsverbund,8.55108115702973,47.3867586162621
gen:23026:1087:2:1_zürcher_verkehrsverbund,8.55108115702973,47.3867586162621
gen:23026:1093:1:20_zürcher_verkehrsverbund,8.55481814861218,47.4144913569749
gen:23026:1093:1:21_zürcher_verkehrsverbund,8.55549188507537,47.41448527816689
gen:23026:1095:1:50_zürcher_verkehrsverbund,8.56935288991126,47.42806358502111
gen:23026:1095:1:51_zürcher_verkehrsverbund,8.56939780567547,47.4281608207834
gen:23026:1098:1:0_zürcher_verkehrsverbund,8.548071800827511,47.38011664476711
gen:23026:1098:1:1_zürcher_verkehrsverbund,8.5481975649673,47.38035995519179
gen:23026:11:1:51_zürcher_verkehrsverbund,8.490570639483009,47.3205143790648
gen:23026:1100:1:0_zürcher_verkehrsverbund,8.54500854570823,47.37914339184
gen:23026:1100:1:1_zürcher_verkehrsverbund,8.545304989752031,47.378839246616
gen:23026:1100:2:2_zürcher_verkehrsverbund,8.54402938204841,47.3800740653274
gen:23026:1100:2:3_zürcher_verkehrsverbund,8.544074297812621,47.3802991276909
gen:23026:1120:1:0_zürcher_verkehrsverbund,8.497694279687071,47.396203128904
gen:23026:1120:1:1_zürcher_verkehrsverbund,8.497316987267691,47.3965071739505
gen:23026:1122:1:1_zürcher_verkehrsverbund,8.51491498368604,47.3823428932854
