0,POINT (37.93651997461529 -107.8017883006968)
1,POINT (37.93637757462258 -107.8023515006952)
2,POINT (37.93595147462791 -107.8025240006943)
3,POINT (37.93557147463262 -107.8026770006934)
4,POINT (37.93513607463807 -107.8028520006924)
5,POINT (37.93582467464153 -107.8036748006912)
6,POINT (37.93644587464587 -107.8045208006898)
7,POINT (37.93909077466062 -107.807802200685)
8,POINT (37.93534547464743 -107.8038604006901)
9,POINT (37.93606807465034 -107.8046550006891)
10,POINT (37.93670447465419 -107.8054697006878)
11,POINT (37.93806207466158 -107.8071359006853)
12,POINT (37.93734917465824 -107.8063109006865)
13,POINT (37.93934807468121 -107.8098729006802)
14,POINT (37.93585957466522 -107.8058561006858)
15,POINT (37.93722117467197 -107.8074673006835)
16,POINT (37.93853687467927 -107.8090975006811)
17,POINT (37.93461147466941 -107.8053276006856)
18,POINT (37.93628907467977 -107.8074994006823)
19,POINT (37.93963597468964 -107.8108470006781)
20,POINT (37.93612437469516 -107.8068892006409)
21,POINT (37.93747837468074 -107.8084597006814)
22,POINT (37.93879397468838 -107.8101169006789)
23,POINT (37.94030247470548 -107.8127787006741)
24,POINT (37.93952597471517 -107.8130925006724)
25,POINT (37.9358307747013 -107.8091268006776)
26,POINT (37.93822727470736 -107.8114315006749)
27,POINT (37.94039377472574 -107.8146912006694)
28,POINT (37.93607877471025 -107.8101233006755)
29,POINT (37.93714467470878 -107.8107704006752)
30,POINT (37.93847677471604 -107.8124074006728)
31,POINT (37.93797377469841 -107.8104302006771)
32,POINT (37.93664337469129 -107.8088071006795)
33,POINT (37.93928937470604 -107.8120908006746)
34,POINT (37.93991267469814 -107.811821900676)
35,POINT (37.9363807746828 -107.8078392006815)
36,POINT (37.93773517468937 -107.8094311006792)
37,POINT (37.93904347469714 -107.8110986006767)
38,POINT (37.93916257467164 -107.8088596006824)
39,POINT (37.93560207465612 -107.804838600688)
40,POINT (37.93696677466319 -107.8064862006856)
41,POINT (37.93760717466704 -107.8073044006844)
42,POINT (37.93828337467065 -107.8081287006832)
43,POINT (37.93633827471891 -107.8111022006733)
44,POINT (37.93961257473578 -107.8150356006676)
45,POINT (37.93766507472657 -107.8127714006709)
46,POINT (37.94049137474769 -107.8167657006644)
47,POINT (37.94070077475413 -107.8175044006628)
48,POINT (37.93551407472928 -107.8114413006715)
49,POINT (37.93577187473814 -107.8124400006693)
50,POINT (37.93684817473663 -107.813089700669)
51,POINT (37.93659637472771 -107.8120928006712)
52,POINT (37.93921757474108 -107.8152298006667)
53,POINT (37.93791767473522 -107.8137451006687)
54,POINT (37.93604487474671 -107.8134215006672)
55,POINT (37.93636207474041 -107.8143574006725)
56,POINT (37.93988477476509 -107.8179095006609)
57,POINT (37.94230867478457 -107.8214586006551)
58,POINT (37.9391597747747 -107.818253400659)
59,POINT (37.94117489637523 -107.8209397645404)
60,POINT (37.93949837477011 -107.8180797006599)
61,POINT (37.93758477476199 -107.8159391006629)
62,POINT (37.93887307476822 -107.8174517006607)
63,POINT (37.94085887478546 -107.8204733006557)
64,POINT (37.93696717476968 -107.8161891006615)
65,POINT (37.93805377477869 -107.8178045006588)
66,POINT (37.93834147479129 -107.8191657006558)
67,POINT (37.94008037480042 -107.8212719006527)
68,POINT (37.93778657479823 -107.8193906006545)
69,POINT (37.93844577481766 -107.8216434006497)
70,POINT (37.93790017484513 -107.8237496006439)
71,POINT (37.94077357478623 -107.8211248006922)
72,POINT (37.93839817475168 -107.8155971006647)
73,POINT (37.93709867474541 -107.8140747006669)
74,POINT (37.93969697475806 -107.8171285006625)
75,POINT (37.94000457473073 -107.8148615006686)
76,POINT (37.93740407471752 -107.8117581006731)
77,POINT (37.93872607472509 -107.8134121006706)
