,x,y,headways_mean,unique_route_id
10087_chicago,-87.62804988,41.76919898,3.883720930232558,67_chicago
10088_chicago,-87.62971304,41.76915741,1.6666666666666667,169_chicago
10088_chicago,-87.62971304,41.76915741,3.883720930232558,67_chicago
10089_chicago,-87.63230645,41.76911399,3.883720930232558,67_chicago
10090_chicago,-87.63367445,41.76910599,3.883720930232558,67_chicago
10091_chicago,-87.634884,41.769049,3.883720930232558,67_chicago
10092_chicago,-87.636967,41.769009000000004,3.883720930232558,67_chicago
10094_chicago,-87.64007154,41.76897043,3.883720930232558,67_chicago
10095_chicago,-87.64156821,41.76893437,3.883720930232558,67_chicago
10096_chicago,-87.64437737,41.76890717,3.883720930232558,67_chicago
10097_chicago,-87.646686,41.768840000000004,3.883720930232558,67_chicago
10099_chicago,-87.649117,41.768813,3.883720930232558,67_chicago
100_chicago,-87.67405699999999,41.876242,7.62936507936508,126_chicago
10101_chicago,-87.65167815,41.76879114,3.8536585365853657,67_chicago
10102_chicago,-87.65408183,41.76876503,3.9825581395348837,67_chicago
10103_chicago,-87.65653461,41.76871872,3.9837209302325585,67_chicago
10104_chicago,-87.65890365,41.76869633,3.9852713178294574,67_chicago
10105_chicago,-87.66130465,41.76865833,3.987209302325581,67_chicago
10106_chicago,-87.66369288,41.76861972,3.988372093023256,67_chicago
10108_chicago,-87.66620481,41.76858665,3.9914728682170546,67_chicago
10110_chicago,-87.66865381,41.76854564,3.994186046511628,67_chicago
10111_chicago,-87.67109811,41.76853097,3.9972868217054263,67_chicago
10113_chicago,-87.67585259,41.76844938,4.003875968992248,67_chicago
10113_chicago,-87.67585259,41.76844938,5.526344086021505,94_chicago
10115_chicago,-87.67952142,41.76843598,4.0124031007751935,67_chicago
10115_chicago,-87.67952142,41.76843598,5.31989247311828,94_chicago
10116_chicago,-87.68062143,41.76843698,3.9857723577235777,67_chicago
10116_chicago,-87.68062143,41.76843698,5.320967741935483,94_chicago
10117_chicago,-87.68348863,41.76814194,7.108695652173913,67_chicago
10117_chicago,-87.68348863,41.76814194,5.32258064516129,94_chicago
10118_chicago,-87.68537099999999,41.764682,7.108695652173913,67_chicago
10118_chicago,-87.68537099999999,41.764682,5.319354838709677,94_chicago
10119_chicago,-87.687916,41.764633,7.108695652173914,67_chicago
10119_chicago,-87.687916,41.764633,5.318279569892473,94_chicago
1011_chicago,-87.66617692,42.01919502,6.595333333333333,147_chicago
10120_chicago,-87.69049749,41.76466285,7.108695652173913,67_chicago
10120_chicago,-87.69049749,41.76466285,5.317204301075269,94_chicago
10121_chicago,-87.69291621,41.76460902,7.108695652173913,67_chicago
10121_chicago,-87.69291621,41.76460902,5.316129032258065,94_chicago
10122_chicago,-87.7052,41.764399,7.054666666666667,67_chicago
10123_chicago,-87.707693,41.764365999999995,7.050666666666666,67_chicago
10124_chicago,-87.710153,41.764355,7.046,67_chicago
10125_chicago,-87.712136,41.764286,6.957246376811595,67_chicago
10126_chicago,-87.71490599,41.76424748,6.952173913043477,67_chicago
10127_chicago,-87.71734011,41.76421113,6.947101449275363,67_chicago
10128_chicago,-87.719663,41.764157,6.942028985507247,67_chicago
1012_chicago,-87.665802,42.018021000000005,6.462962962962963,147_chicago
10132_chicago,-87.722117,41.764024,7.173913043478261,67_chicago
10133_chicago,-87.720045,41.764062,7.173913043478261,67_chicago
10134_chicago,-87.71739611,41.76410413,7.173913043478261,67_chicago
10135_chicago,-87.71502099,41.76414548,7.173913043478261,67_chicago
10136_chicago,-87.71283173,41.76411112,7.173913043478261,67_chicago
10137_chicago,-87.709877,41.764198,7.173913043478261,67_chicago
10138_chicago,-87.70761229,41.76422866,7.173913043478261,67_chicago
10139_chicago,-87.70515729,41.76426566,7.173913043478261,67_chicago
10140_chicago,-87.70248852,41.76432434,7.173913043478261,67_chicago
10141_chicago,-87.700416,41.764383,7.171739130434782,67_chicago
10144_chicago,-87.690678,41.76453,7.16231884057971,67_chicago
10144_chicago,-87.690678,41.76453,5.317741935483871,94_chicago
10145_chicago,-87.688238,41.764561,7.160869565217391,67_chicago
10145_chicago,-87.688238,41.764561,5.318817204301075,94_chicago
10146_chicago,-87.68579,41.764599,7.158695652173913,67_chicago
10146_chicago,-87.68579,41.764599,5.319892473118279,94_chicago
10147_chicago,-87.6831168,41.76492603,5.403225806451613,49_chicago
10147_chicago,-87.6831168,41.76492603,7.156521739130435,67_chicago
10147_chicago,-87.6831168,41.76492603,5.320967741935483,94_chicago
10148_chicago,-87.680888,41.768322,4.192276422764228,67_chicago
10148_chicago,-87.680888,41.768322,5.32258064516129,94_chicago
10149_chicago,-87.679677,41.768337,4.192276422764228,67_chicago
10149_chicago,-87.679677,41.768337,5.32258064516129,94_chicago
1014_chicago,-87.66511368,42.01580068,6.462962962962963,147_chicago
10151_chicago,-87.676164,41.768370000000004,4.193089430894308,67_chicago
10151_chicago,-87.676164,41.768370000000004,5.32258064516129,94_chicago
10152_chicago,-87.67377062,41.76836908,5.32258064516129,94_chicago
10153_chicago,-87.67129618,41.768412,3.9499999999999997,67_chicago
10154_chicago,-87.66886211,41.76842895,3.950406504065041,67_chicago
10156_chicago,-87.66642039,41.76845728,3.9508130081300816,67_chicago
10159_chicago,-87.66158673,41.76852523,3.9302325581395348,67_chicago
1015_chicago,-87.66469399,42.01482404,6.462962962962963,147_chicago
10160_chicago,-87.65918651,41.76855113,3.9302325581395348,67_chicago
10161_chicago,-87.65673956,41.76859742,3.9302325581395348,67_chicago
10162_chicago,-87.65431778,41.76861944,3.9302325581395348,67_chicago
10163_chicago,-87.65188572,41.76866202,3.9288888888888893,67_chicago
10165_chicago,-87.64944972,41.76871202,3.9303703703703707,67_chicago
10167_chicago,-87.64704073,41.76874902,3.931851851851852,67_chicago
10168_chicago,-87.64464016,41.76876695,3.933333333333333,67_chicago
10169_chicago,-87.64216305,41.76881761,3.8852713178294573,67_chicago
1016_chicago,-87.66414499999999,42.013757,6.462962962962963,147_chicago
10170_chicago,-87.64027583,41.76884884,3.886434108527132,67_chicago
10172_chicago,-87.637363,41.768877,3.8883720930232557,67_chicago
10173_chicago,-87.634875,41.768894,3.8899224806201547,67_chicago
10174_chicago,-87.63360386,41.76896271,3.890697674418605,67_chicago
10175_chicago,-87.63239911,41.76894458,3.892248062015504,67_chicago
10176_chicago,-87.63006039,41.76900558,3.893023255813953,67_chicago
10177_chicago,-87.62834226,41.76897399,3.893798449612403,67_chicago
10178_chicago,-87.62601277,41.7690992,3.895348837209302,67_chicago
10179_chicago,-87.62466099,41.76910232,3.888888888888889,67_chicago
1017_chicago,-87.663526,42.012648999999996,6.462962962962963,147_chicago
10182_chicago,-87.61070845,41.77299597,3.8372093023255816,67_chicago
10183_chicago,-87.60832309,41.77303455,3.8372093023255816,67_chicago
10184_chicago,-87.60594474,41.77307407,3.8372093023255816,67_chicago
10185_chicago,-87.60338649,41.77310242,3.8372093023255816,67_chicago
10186_chicago,-87.60217549,41.77311442,3.8372093023255816,67_chicago
10187_chicago,-87.60100149,41.77313342,3.8372093023255816,67_chicago
10188_chicago,-87.59980149,41.77313742,3.8372093023255816,67_chicago
10189_chicago,-87.59848949,41.77314842,3.8372093023255816,67_chicago
1018_chicago,-87.662952,42.011414,6.462962962962963,147_chicago
10190_chicago,-87.59722039,41.77316507,3.8372093023255816,67_chicago
10191_chicago,-87.59599041,41.77317619,3.8372093023255816,67_chicago
10192_chicago,-87.59447541,41.77319519,3.8777777777777778,67_chicago
10193_chicago,-87.59302249,41.77320981,3.8777777777777778,67_chicago
10194_chicago,-87.59172048,41.77322081,3.8777777777777778,67_chicago
10195_chicago,-87.58885556,41.77325384,3.8777777777777778,67_chicago
10196_chicago,-87.58643902,41.77326898,3.8777777777777778,67_chicago
10198_chicago,-87.57104235,41.77676671,13.777777777777779,67_chicago
10199_chicago,-87.747739,41.959939,2.6076923076923078,54_chicago
1019_chicago,-87.662563,42.010216,6.462962962962963,147_chicago
101_chicago,-87.67607199999999,41.87624,7.627777777777778,126_chicago
10200_chicago,-87.74760611,41.95896491,12.158974358974358,54A_chicago
10200_chicago,-87.74760611,41.95896491,5.225806451612903,54_chicago
10202_chicago,-87.74749371,41.95555334,12.178205128205128,54A_chicago
10202_chicago,-87.74749371,41.95555334,5.212121212121212,54_chicago
10203_chicago,-87.74740611,41.95363141,5.212121212121212,54_chicago
10204_chicago,-87.74737751,41.95164172,5.212121212121212,54_chicago
10206_chicago,-87.74732850000001,41.94983472,5.212121212121212,54_chicago
10207_chicago,-87.7472,41.948011,5.212121212121212,54_chicago
10208_chicago,-87.74718329,41.94623083,5.212121212121212,54_chicago
10209_chicago,-87.74714191,41.94473789,5.212121212121212,54_chicago
1020_chicago,-87.66214599999999,42.009002,6.462962962962963,147_chicago
10210_chicago,-87.74707491,41.94254789,5.212121212121212,54_chicago
10211_chicago,-87.74703739,41.94072177,5.212121212121212,54_chicago
10215_chicago,-87.74673,41.933434000000005,5.109090909090909,54_chicago
