0,POINT (8.459931187387143 41.64590629927149)
1,POINT (8.420853184445383 41.64590009922532)
2,POINT (8.4567572871638 41.64641289926807)
3,POINT (8.421885984528574 41.64600169922672)
4,POINT (8.454063786973531 41.64849989926515)
5,POINT (8.420315384405168 41.64916649922459)
6,POINT (8.452835386886154 41.64945489926381)
7,POINT (8.419999984379913 41.64939529922419)
8,POINT (8.45769288723144 41.64820079926907)
9,POINT (8.457200687196627 41.64820149926857)
10,POINT (8.456479087145476 41.64820239926778)
11,POINT (8.455257387058573 41.64820409926647)
12,POINT (8.454445987000648 41.64820519926556)
13,POINT (8.451597486797715 41.65040689926239)
14,POINT (8.392435882046424 41.65090749918547)
15,POINT (8.450414086712795 41.65132609926107)
16,POINT (8.39657858241107 41.65073009919161)
17,POINT (8.464972387741673 41.65183479927671)
18,POINT (8.463759987658126 41.65183779927549)
19,POINT (8.462538287573565 41.65184089927421)
20,POINT (8.464952387738936 41.65003379927673)
21,POINT (8.463768087657305 41.6500335992755)
22,POINT (8.462546287572717 41.65003339927421)
23,POINT (8.461339287488787 41.65003329927292)
24,POINT (8.460120287403615 41.65003309927165)
25,POINT (8.458901887318115 41.65003289927037)
26,POINT (8.457700887233466 41.65003269926909)
27,POINT (8.456485887147432 41.65003259926779)
28,POINT (8.4552721870611 41.65003239926645)
29,POINT (8.454074586975556 41.65003219926515)
30,POINT (8.45284608688741 41.65003309926378)
31,POINT (8.38127238103977 41.65221109916828)
32,POINT (8.39040408186675 41.65187649918241)
33,POINT (8.388657981710423 41.65185449917977)
34,POINT (8.389400981777046 41.6518584991809)
35,POINT (8.38205698111136 41.6518192991695)
36,POINT (8.381277781039802 41.65181729916826)
37,POINT (8.382766581176373 41.65181629917063)
38,POINT (8.385985381469427 41.65183949917563)
39,POINT (8.385364281413116 41.65183239917469)
40,POINT (8.384378481323502 41.65182939917316)
41,POINT (8.399026082625491 41.65185149919521)
42,POINT (8.397791382518168 41.6518531991934)
43,POINT (8.396562282410892 41.65186189919163)
44,POINT (8.394812282257377 41.65186649918901)
45,POINT (8.392434482047355 41.65185959918548)
46,POINT (8.44919558662496 41.65225669925971)
47,POINT (8.440690185995551 41.65225569924988)
48,POINT (8.385362381412323 41.65129429917469)
49,POINT (8.461333987489812 41.65184389927291)
50,POINT (8.460121587405123 41.65184689927167)
51,POINT (8.458900487319442 41.65184999927037)
52,POINT (8.457690087234125 41.65185299926906)
53,POINT (8.456491787149291 41.65185459926776)
54,POINT (8.455277487062943 41.65185619926645)
55,POINT (8.454082586977613 41.65185789926514)
56,POINT (8.45284598688888 41.65185949926379)
57,POINT (8.451611786799926 41.65186119926241)
58,POINT (8.450418386713542 41.65185799926108)
59,POINT (8.449724286663116 41.65185809926032)
60,POINT (8.465903787806996 41.65365859927769)
61,POINT (8.464966987742693 41.65365459927671)
62,POINT (8.463746087658564 41.65366689927545)
63,POINT (8.462546287575522 41.6536654992742)
64,POINT (8.461325887490672 41.65366399927291)
65,POINT (8.46011618740617 41.65366259927162)
66,POINT (8.458898987320778 41.65367379927036)
67,POINT (8.457698187236149 41.65367619926904)
68,POINT (8.456491187150718 41.65367859926775)
69,POINT (8.455277487064411 41.65368099926641)
70,POINT (8.454082586979091 41.65368339926513)
71,POINT (8.45284298689015 41.65368579926373)
72,POINT (8.382751181177088 41.65363199917058)
73,POINT (8.384240031311416 41.65364149924019)
74,POINT (8.385981181471129 41.65365109917563)
75,POINT (8.386845381549284 41.65365609917696)
76,POINT (8.40317543298319 41.6537636492013)
77,POINT (8.405054383145222 41.65374429920385)
78,POINT (8.395050882280408 41.65371589918936)
79,POINT (8.398045682541774 41.65320919919378)
80,POINT (8.390966081918373 41.65322029918324)
81,POINT (8.451617386801834 41.65368709926238)
82,POINT (8.450428386715782 41.65368839926106)
83,POINT (8.449212586627377 41.65368959925971)
84,POINT (8.448002586539026 41.65369089925832)
85,POINT (8.447264086484918 41.6536916992575)
86,POINT (8.388612381708091 41.65340359917968)
87,POINT (8.391499781966212 41.65351389918406)
88,POINT (8.392422482048239 41.65360609918545)
89,POINT (8.446777586449521 41.65407639925694)
90,POINT (8.390162681847631 41.65402889918203)
91,POINT (8.382744881177395 41.65437949917058)
92,POINT (8.394954982272582 41.65427599918922)
93,POINT (8.397749382517366 41.65449389919333)
94,POINT (8.462531587575951 41.65552629927416)
95,POINT (8.445537086358954 41.65504699925552)
96,POINT (8.394896782268152 41.65489569918913)
97,POINT (8.386839481550293 41.65501089917696)
98,POINT (8.460129587408554 41.65550529927161)
99,POINT (8.456485887151798 41.65549929926772)
100,POINT (8.458897587322127 41.65550129927031)
101,POINT (8.457672287235773 41.65549899926901)
102,POINT (8.389206481763182 41.65500189918056)
103,POINT (8.44069228599832 41.65526659924986)
104,POINT (8.455276187065783 41.6554992992664)
105,POINT (8.461325887492123 41.6555313992729)
106,POINT (8.454088786980995 41.65551049926512)
107,POINT (8.452849186892092 41.65551279926373)
108,POINT (8.451626986804024 41.65551229926238)
109,POINT (8.450446886718629 41.65551729926107)
110,POINT (8.449221086629525 41.6555132992597)
111,POINT (8.403245182992576 41.65527839920125)
112,POINT (8.448003386540634 41.65551729925832)
113,POINT (8.446788286451513 41.65552129925693)
114,POINT (8.445542786359784 41.65552759925552)
115,POINT (8.395362582306531 41.65257629918982)
116,POINT (8.388663381711725 41.65257089917977)
117,POINT (8.389729581807259 41.65257599918139)
118,POINT (8.392419782046877 41.65259299918543)
119,POINT (8.38275938117669 41.65266089917061)
120,POINT (8.382219181127226 41.65266399916976)
121,POINT (8.444121486255128 41.65617569925389)
122,POINT (8.400765482780542 41.6561270991977)
123,POINT (8.394873982267509 41.65612709918909)
124,POINT (8.397679582512724 41.65580849919321)
125,POINT (8.39488338226796 41.65579449918908)
126,POINT (8.443402286202247 41.65680819925304)
127,POINT (8.46252748757702 41.65729989927412)
128,POINT (8.461312487492561 41.65730289927284)
129,POINT (8.460124287409593 41.65730689927162)
